"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"32473","0",89.5,50.3,23,2183,5,5.78
"32474","0",89.1,23.9,241,1605,1,5.2
"32475","0",83.8,24.5,119,1754,1,5.27
"32476","0",84.5,29.2,261,2426,7,5.65
"32477","0",98.4,41.2,216,2120,6,5.72
"32478","0",100,36.9,215,2289,6,5.75
"32479","0",85,49.9,147,1517,1,6.43
"32480","0",86.8,39.6,227,1355,4,6.08
"32481","0",94,38.4,213,2565,3,5.65
"32482","0",92.1,31.4,226,2335,6,5.47
"32483","0",88.1,40.7,161,1578,7,5.92
"32484","0",81.2,46.5,144,1588,1,6.04
"32485","0",77,40.3,310,2365,7,6.06
"32486","0",91.1,43.5,210,1978,3,5.3
"32487","0",100.5,35,229,2109,6,5.74
"32488","0",82,43.8,253,2603,1,6.13
"32489","0",98.3,53.4,189,2482,3,6.81
"32490","0",93.7,33.5,189,2171,3,5.59
"32491","0",96.6,37.8,212,2368,3,5.46
"32492","0",79.8,35.7,67,2587,8,5.39
"32493","0",86.6,41,23,2399,5,6.06
"32494","0",88.4,21.4,240,1492,1,5.15
"32495","0",94.8,47.5,151,2331,3,6.41
"32496","0",82.5,60.4,2,2249,2,6.47
"32497","0",85.7,34.3,53,3028,8,5.55
"32498","0",93.5,44.3,211,2130,3,5.97
"32499","0",87.3,27.1,232,1525,1,4.97
"32500","0",93.9,48.7,153,2387,3,5.95
"32501","0",84.7,50.8,29,2504,7,6.13
"32502","0",87.1,45.1,129,1287,1,5.67
"32503","0",95.8,45.6,205,2429,3,5.84
"32504","0",80.2,44.1,34,2348,2,6.03
"32505","0",78.2,53.7,54,2457,8,5.91
"32506","0",91.7,65.1,201,1974,3,6.01
"32507","0",97.2,52.1,206,2309,3,6.05
"32508","0",96.8,45.2,202,2456,3,5.77
"32509","0",94.6,16.7,236,2180,6,5.24
"32510","0",89.2,12.9,124,2185,6,4.98
"32511","0",95.6,40.7,210,2204,6,5.83
"32512","0",94.4,36.5,233,1826,6,5.72
"32513","0",89.9,25.3,138,2444,3,5.37
"32514","0",90.9,46.8,216,2044,6,6.29
